جبران خليل جبران,"الألم يغير الناس ، فيجعلهم يثقون أقل ويفكرون أكثر وينعزلون أطول.",حكم و أقوال عن الناس 
واسيني الأعرج,"الأم هي أول من يمنح الحياة ، و أول من يحس عند الفقدان بأن جزءا مهما منه قد انطفأ نهائيا .",حكم و أقوال عن الحياة 
سعود السنعوسي,الأمل في داخلي لا زال ينبض بالحياة,حكم و أقوال عن الحياة 
محمد العدوي,"الأمم لا تبعث بهمة شخص، بل بصدى همته في نفوس الناس من حوله. وبتحملهم مسئولية العمل بهذه الهمة.",حكم و أقوال عن الناس 
ألكسندر بوشكين,البخيل شخص يعيش طيلة حياته دون أن يتذوق طعم الحياة,حكم و أقوال عن الحياة 
جلال عامر,البلد دى فيها ناس عايشة كويس وناس كويس إنها عايشة,حكم و أقوال عن الناس 
نابليون بونابرت,التاريخ خرافات يصدقها الناس.,حكم و أقوال عن الناس 
نابليون بونابرت,التاريخ هو صيغة أحداث الماضي التي قرر الناس الاتفاق عليها.,حكم و أقوال عن الناس 
حسين البرغوثي,التاريخ يترك الناس أحيانا بلا شيء يفعلونه بتاريخهم,حكم و أقوال عن الناس 
باولو كويلو,التحدي لا ينتظر اطلاقا . والحياة لا تلتفت الى الوراء . اسبوع واحد هو فاصل من الزمن,حكم و أقوال عن الحياة 
دوايت ايزنهاور,التحفيز هو فن جعل الناس يفعلون ما تريد لأنهم يودون فعله.,حكم و أقوال عن الناس 
فكتور هوجو,التشاؤم هو تسوس الحياة,حكم و أقوال عن الحياة 
إدوارد T قاعة,التصميم من أجل الناس يحتل مرتبة متدنية على سلم أولوياتنا!,حكم و أقوال عن الناس 
أحمد خيري العمري,"التغيير يجب ألا يكون مجرد فكرة في الرؤوس، بل أن يكون حقيقة يراها الناس..",حكم و أقوال عن الناس 
كارل غوستاف يونغ,"التفكير صعب، لذلك معظم الناس يطلقون الأحكام.",حكم و أقوال عن الناس 
محمد الغزالي,التفوق الصناعي وليد التفوق الأخلاقي ولو أننا نهضنا بأخلاقنا لجاد ما نصنع ولأقبل الناس عليه,حكم و أقوال عن الناس 
بول ريكور,"التقدم في الحياة ليس عملية اكتساب، بل عملية تخلٍ.",حكم و أقوال عن الحياة 
حسن كمال,"التكنولوجيا نجحت في تحديد موقعك على الأرض , تبقّى البحث عن تقنية تحدد فيها: موقعك في الحياة.",حكم و أقوال عن الحياة 
برتراند راسل,التلفزيون يسمح لآلاف من الناس أن يضحكوا على نفس النكتة ورغم ذلك يظلوا في وحدة.,حكم و أقوال عن الناس 
شارلوت كاسيراغي,التنافس في القفز هو مدرسة الحياة. وهي واحدة من الرياضات الأولمبية القليلة التي يتساوى فيها الرجال والنساء.,حكم و أقوال عن الحياة 
أحمد بن حنبل,التوكل: قطع الاستشراف باليأس من الناس,حكم و أقوال عن الناس 
